age,total,male,female
0,50991,26450,24541
1-4,228645,118180,110465
5-9,256101,133324,122777
10-14,218763,115653,103110
15-19,205771,109149,96622
20-24,220569,115686,104883
25-29,262452,132675,129777
30-34,271863,136404,135459
35-39,252347,125265,127082
40-44,241238,119450,121788
45-49,234369,114750,119619
50-54,236258,113033,123225
55-59,262403,121364,141039
60-64,229009,101154,127855
65-69,191733,79925,111808
70-74,123632,48307,75325
75-79,108187,38731,69456
80-84,85385,28418,56967
85+,43748,12981,30767